Batch #5292,,,,,,,,,,,,,,,,,,,,,,,,,Measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SL,SKU,NAME,DESCRIPTION,BRAND,BRAND TYPE,BRAND LEVEL,LOGO TYPE,URL KEY,BRAND SIZE,SIZE,CONDITION,TAG,COLOR,CATEGORY,SUB CATEGORY,FILTERS,PRODUCT LABEL,Others,PRICE,CUSTOM,WEIGHT,UPLOAD DATE,Atrribute_Set_Code,Cat_Set,LENGTH,CHEST/BUST,PIT TO PIT,WAIST,SLEEVE,QTY,ACETATE,ACRYLIC,CHIFFON,COOLMAX,COTTON,DENIM,ELASTANE,ELASTIC,LASTOL,LEATHER,LYCRA,METALLIC,MODAL,NYLON,PIMA COTTON,POLYAMIDA,POLYESTER,RAMIE,RAYON,SILK,SPANDEX,SPORT,VISCOSE,WOOLEN,LINEN,LYOCELL,FIBERS,ANGORA,TOTAL,BATCH #
130362,A0131362,Mens Tommy Hilfiger Classic Straight Denim Pants,,Tommy Hilfiger,Branded,HB / V,No Logo,Mens Tommy Hilfiger Classic Straight Denim Pants-130362,32/30,M,Excellent,No,Blue,MEN,Jeans,Straight Jeans,Thrift,,37,,0.681,,Migration_Pants,cat_jeans,100,,,80,,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5292
130363,A0131363,Mens Champion Red Mesh Sports Shorts,,Champion,Branded,MB,No Logo,Mens Champion Red Mesh Sports Shorts-130363,S,S,Excellent,No,Red,MEN,Shorts,Sports Shorts,Thrift,,25,,0.211,,Migration_Shorts,cat_shorts,50,,,74,,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5292
130364,A0131364,Mens Nautica Classic Fit Checkered Long Sleeve Shirt,,Nautica,Branded,CB,No Logo,Mens Nautica Classic Fit Checkered Long Sleeve Shirt-130364,M,L,Excellent,No,Green,MEN,Shirts,Long Sleeve Shirts,Thrift,,27,10,0.206,,Migration_Shirt,cat_shirts,74,106,,,66,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5292
130365,A0131365,Mens G-Star Taper Skinny Denim Pants,,Others,Unbranded,Unbranded,No Logo,Mens G-Star Taper Skinny Denim Pants-130365,32/32,M,Excellent,No,Blue,MEN,Jeans,Skinny Jeans,Thrift,,35,10,0.656,,Migration_Pants,cat_jeans,106,,,82,,1,,,,,98,,2,,,,,,,,,,,,,,,,,,,,,,100,5292
130366,A0131366,Mens Adidas Orange Stripe Black Sports Shorts,,Adidas,Branded,MB,Small Logo,Mens Adidas Orange Stripe Black Sports Shorts-130366,M,M,Very Good,No,Black,MEN,Shorts,Sports Shorts,Thrift,,25,4,0.345,,Migration_Shorts,cat_shorts,56,,,78,,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5292
130367,A0131367,Mens DSG Printed Shorts,,Others,Unbranded,Unbranded,No Logo,Mens DSG Printed Shorts-130367,XL,XL,Excellent,No,Multi Color,MEN,Shorts,Casual Shorts ,Thrift,,23,12,0.181,,Migration_Shorts,cat_shorts,46,,,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292
130368,A0131368,Mens Chaps Stripe Long Sleeve Shirt,,Others,Unbranded,Unbranded,No Logo,Mens Chaps Stripe Long Sleeve Shirt-130368,S/P,M,Excellent,No,Gray,MEN,Shirts,Long Sleeve Shirts,Thrift,,27,14,0.212,,Migration_Shirt,cat_shirts,77,102,,,62,1,,,,,60,,,,,,,,,,,,40,,,,,,,,,,,,100,5292
130369,A0131369,Mens Old Navy Black Stripe Mesh Shorts,,Old Navy,Branded,CB,No Logo,Mens Old Navy Black Stripe Mesh Shorts-130369,,S,Excellent,No,Maroon,MEN,Shorts,Sports Shorts,Thrift,,23,2,0.171,,Migration_Shorts,cat_shorts,45,,,74,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292
130370,A0131370,Mens Jack & Jones Regular Fit Black Denim Pants,,Others,Unbranded,Unbranded,No Logo,Mens Jack & Jones Regular Fit Black Denim Pants-130370,30/32,M,Very Good,No,Black,MEN,Jeans,Straight Jeans,Thrift,,30,13,0.542,,Migration_Pants,cat_jeans,100,,,76,,1,,,,,99,,1,,,,,,,,,,,,,,,,,,,,,,100,5292
130371,A0131371,Mens U.S Polo Assn Black Collar T-Shirt,,Others,Unbranded,Unbranded,No Logo,Mens U.S Polo Assn Black Collar T-Shirt-130371,M,L,Excellent,No,Black,MEN,TShirts,Collar T-Shirts,Thrift,,27,10,0.259,,Migration_T-Shirt,cat_tshirt,80,108,,,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292
130372,A0131372,Mens Nike Dri-Fit Printed Running Shorts,,Nike,Branded,HB,No Logo,Mens Nike Dri-Fit Printed Running Shorts-130372,XL,L,Excellent,No,Multi Color,MEN,Shorts,Sports Shorts,Thrift,,31,,0.188,,Migration_Shorts,cat_shorts,45,,,88,,1,,,,,,,,,,,,,,,,,86,,,,14,,,,,,,,100,5292
130373,A0131373,Mens Adidas White Stripes Black Sports Shorts,,Adidas,Branded,MB,No Logo,Mens Adidas White Stripes Black Sports Shorts-130373,M,L,Very Good,No,Black,MEN,Shorts,Sports Shorts,Thrift,,23,4,0.125,,Migration_Shorts,cat_shorts,43,,,88,,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5292
130374,A0131374,Mens Oakley Regular Fit Shorts,,Oakley,Branded,MB,No Logo,Mens Oakley Regular Fit Shorts-130374,US/EU: 36,L,Excellent,No,Gray,MEN,Shorts,Casual Shorts ,Thrift,,27,8,0.263,,Migration_Shorts,cat_shorts,53,,,92,,1,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,100,5292
130375,A0131375,Ladies Adidas Sweat Jogger Pants,,Adidas,Branded,MB,No Logo,Ladies Adidas Sweat Jogger Pants-130375,M,M,Excellent,No,Black,WOMEN,Pants,Jogger Pants,Thrift,,30,9,0.339,,Migration_Pants,cat_pants,95,,,82,,1,,,,,52,,,,,,,,,,,,48,,,,,,,,,,,,100,5292
130376,A0131376,Ladies APT.9 Printed Short Sleeve T-Shirt,,Others,Unbranded,Unbranded,No Logo,Ladies APT.9 Printed Short Sleeve T-Shirt-130376,L,L,Excellent,No,Multi Color,WOMEN,TShirts,Round Neck / V-Neck T-Shirts,Thrift,,25,10,0.163,,Migration_T-Shirt,cat_tshirt,65,98,,,15,1,,,,,55,,,,,,,,,,,,45,,,,,,,,,,,,100,5292
130377,A0131377,Ladies Hard Rock Couture Bali T-Shirt,,Others,Unbranded,Unbranded,No Logo,Ladies Hard Rock Couture Bali T-Shirt-130377,S,S,Excellent,No,Gray,WOMEN,TShirts,Round Neck / V-Neck T-Shirts,Thrift,,25,10,0.103,,Migration_T-Shirt,cat_tshirt,65,86,,,16,1,,,,,60,,,,,,,,,,,,40,,,,,,,,,,,,100,5292
130378,A0131378,Ladies Lululemon Sleeveless T-Shirt,,Lulu Lemon,Branded,Exclusive,No Logo,Ladies Lululemon Sleeveless T-Shirt-130378,,XS,Excellent,No,Red,WOMEN,TShirts,Tank Top / Sleeveless T-Shirts,Thrift,,30,16,0.097,,Migration_T-Shirt,cat_tshirt,64,82,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292
130379,A0131379,Ladies Star Wars Boba Fett T-Shirt,,Star Wars,Branded,MB / V,No Logo,Ladies Star Wars Boba Fett T-Shirt-130379,S,S,Excellent,No,Black,WOMEN,TShirts,Character T-Shirts,Thrift,,25,25,0.112,,Migration_T-Shirt,cat_tshirt,59,86,,,15,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5292
130380,A0131380,Ladies Hollywood Beverly Hills V-Neck T-Shirt,,Others,Unbranded,Unbranded,No Logo,Ladies Hollywood Beverly Hills V-Neck T-Shirt-130380,L,S,Excellent,No,White,WOMEN,TShirts,Round Neck / V-Neck T-Shirts,Thrift,,25,10,0.1,,Migration_T-Shirt,cat_tshirt,64,86,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292
130381,A0131381,Ladies Victoria's Secret Short Sleeve T-Shirt,,Victoria's Secret,Branded,HB,No Logo,Ladies Victoria's Secret Short Sleeve T-Shirt-130381,S/P,L,Excellent,No,Red,WOMEN,TShirts,Round Neck / V-Neck T-Shirts,Thrift,,29,,0.144,,Migration_T-Shirt,cat_tshirt,66,104,,,19,1,,,,,97,,3,,,,,,,,,,,,,,,,,,,,,,100,5292
130382,A0131382,Ladies Adidas Crop T-Shirt,,Adidas,Branded,MB,No Logo,Ladies Adidas Crop T-Shirt-130382,UK: 14 US: M,XL,Excellent,No,Multi Color,WOMEN,TShirts,Round Neck / V-Neck T-Shirts,Thrift,,28,5,0.198,,Migration_T-Shirt,cat_tshirt,56,116,,,16,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5292
130383,A0131383,Ladies Denizen by Levi Strauss Modern Skinny Denim Pants,,Levi Strauss & Co.,Branded,HB,No Logo,Ladies Denizen by Levi Strauss Modern Skinny Denim Pants-130383,8 S/C,S,Excellent,No,Blue,WOMEN,Jeans,Skinny Jeans,Thrift,,35,4,0.416,,Migration_Pants,cat_jeans,90,,,78,,1,,,,,79,,2,,,,,,,,,,19,,,,,,,,,,,,100,5292
130384,A0131384,Ladies Mango Skinny Denim Pants,,Mango,Branded,CB,No Logo,Ladies Mango Skinny Denim Pants-130384,EUR: 38 US: 6,XS,Excellent,No,Blue,WOMEN,Jeans,Skinny Jeans,Thrift,,30,9,0.494,,Migration_Pants,cat_jeans,89,,,74,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292
130385,A0131385,Ladies Signature by Levi Strauss Mid-Rise Skinny Denim Pants,,Levi Strauss & Co.,Branded,HB,No Logo,Ladies Signature by Levi Strauss Mid-Rise Skinny Denim Pants-130385,W: 28 L: 28,XS,Excellent,No,Navy Blue,WOMEN,Jeans,Skinny Jeans,Thrift,,35,4,0.367,,Migration_Pants,cat_jeans,91,,,70,,1,,,,,77,,2,,,,,,,,,,21,,,,,,,,,,,,100,5292
130386,A0131386,Ladies American Eagle Hi-Rise Mom Denim Pants,,American Eagle,Branded,CB,No Logo,Ladies American Eagle Hi-Rise Mom Denim Pants-130386,8 Regular,XS,Excellent,No,Blue,WOMEN,Jeans,Straight Jeans,Thrift,,35,16,0.558,,Migration_Pants,cat_jeans,95,,,68,,1,,,,,77,,2,,,,,,12,,,,9,,,,,,,,,,,,100,5292
130387,A0131387,Ladies Nike Dri-Fit Tie Dye Workout Pants,,Nike,Branded,HB,No Logo,Ladies Nike Dri-Fit Tie Dye Workout Pants-130387,M,XS,Excellent,No,Multi Color,WOMEN,ActiveWears,Exercise Pants,Thrift,,33,2,0.151,,Migration_Pants,cat_activewear ,84,,,74,,1,,,,,,,,,,,,,,,,,76,,,,24,,,,,,,,100,5292
130388,A0131388,Ladies Lululemon Sports Shorts,,Lulu Lemon,Branded,Exclusive,No Logo,Ladies Lululemon Sports Shorts-130388,,M,Excellent,No,Black,WOMEN,ActiveWears,Sports Shorts,Thrift,,33,15,0.136,,Migration_Shorts,cat_activewear ,30,,,86,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292
130389,A0131389,Ladies American Eagle Ripped Mom Denim Shorts,,American Eagle,Branded,CB,No Logo,Ladies American Eagle Ripped Mom Denim Shorts-130389,6,XS,Excellent,No,Blue,WOMEN,Shorts,Denim Shorts,Thrift,,25,13,0.317,,Migration_Shorts,cat_shorts,31,,,70,,1,,,,,58,,1,,,,,,12,,,,9,,,,,,,,,20,,,100,5292
130390,A0131390,Ladies Lululemon Black Sports Shorts,,Lulu Lemon,Branded,Exclusive,No Logo,Ladies Lululemon Black Sports Shorts-130390,,M,Excellent,No,Black,WOMEN,Shorts,Sports Shorts,Thrift,,33,13,0.129,,Migration_Shorts,cat_shorts,24,,,82,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292
130391,A0131391,Mens Chinatown Market Smiley T-Shirt,,Others,Unbranded,Unbranded,No Logo,Mens Chinatown Market Smiley T-Shirt-130391,M,M,Very Good,No,Blue,RETROM,TShirts,Round Neck / V-Neck T-Shirts,Retro,,75,75,0.216,,Migration_T-Shirt,cat_tshirt,75,98,49,,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292
130392,A0131392,Mens Kenzo Paris Black T-Shirt,,Others,Unbranded,Unbranded,No Logo,Mens Kenzo Paris Black T-Shirt-130392,XXL,XL,Excellent,No,Black,RETROM,TShirts,Round Neck / V-Neck T-Shirts,Retro,,65,65,0.221,,Migration_T-Shirt,cat_tshirt,73,114,57,,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292
130393,A0131393,Mens Thrasher Skateboard Magazine T-Shirt,,Others,Unbranded,Unbranded,No Logo,Mens Thrasher Skateboard Magazine T-Shirt-130393,L,L,Excellent,No,Black,RETROM,TShirts,Round Neck / V-Neck T-Shirts,Retro,,50,50,0.222,,Migration_T-Shirt,cat_tshirt,73,106,53,,18,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5292
130394,A0131394,Mens Thrasher Magazine Rose Black T-Shirt,,Others,Unbranded,Unbranded,No Logo,Mens Thrasher Magazine Rose Black T-Shirt-130394,M,M,Excellent,No,Black,RETROM,TShirts,Round Neck / V-Neck T-Shirts,Retro,,50,50,0.2,,Migration_T-Shirt,cat_tshirt,70,98,49,,19,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5292
130395,A0131395,Ladies Rip N Dip Black T-Shirt,,Others,Unbranded,Unbranded,No Logo,Ladies Rip N Dip Black T-Shirt-130395,S,XS,Very Good,No,Black,RETROM,TShirts,Round Neck / V-Neck T-Shirts,Retro,,40,40,0.137,,Migration_T-Shirt,cat_tshirt,72,78,39,,18,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5292
130396,A0131396,Mens OVO Black T-Shirt,,Others,Unbranded,Unbranded,No Logo,Mens OVO Black T-Shirt-130396,M,M,Very Good,No,Black,RETROW,TShirts,Round Neck / V-Neck T-Shirts,Retro,,75,75,0.197,,Migration_T-Shirt,cat_tshirt,69,100,50,,21,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5292
130397,A0131397,Mens Blink 182 Band T-Shirt,,Tultex,Branded,V,No Logo,Mens Blink 182 Band T-Shirt-130397,XL,XL,Excellent,No,Black,RETROM,TShirts,Music / Band T-Shirts,Retro,,65,65,0.182,,Migration_T-Shirt,cat_tshirt,78,118,59,,23,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5292
130398,A0131398,Y2K 01-01-00 Millennium Vintage T-Shirt ,,Others-Vintage,Branded,V,No Logo,Y2K 01-01-00 Millennium Vintage T-Shirt -130398,L,L,Excellent,No,Black,VINTAGEM,TShirts,Round Neck / V-Neck T-Shirts,Vintage,,125,125,0.231,,Migration_T-Shirt,cat_tshirt,75,108,54,,21,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5292
130399,A0131399,Habitat St.Sauveur Canada Elephants Lightning VNTG T-Shirt,Slightly faded color,Others-Vintage,Branded,V,No Logo,Habitat St.Sauveur Canada Elephants Lightning VNTG T-Shirt-130399,XL,XL,Very Good,No,Black,VINTAGEM,TShirts,Round Neck / V-Neck T-Shirts,Vintage,,95,95,0.242,,Migration_T-Shirt,cat_tshirt,71,120,60,,23,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5292
130400,A0131400,The Planetary Society 'Is Anyone Out There' Vintage T-Shirt,With waskable stain. Slightly faded color,Others-Vintage,Branded,V,No Logo,The Planetary Society 'Is Anyone Out There' Vintage T-Shirt-130400,XL,XL,Very Good,No,Black,VINTAGEM,TShirts,Round Neck / V-Neck T-Shirts,Vintage,,125,125,0.263,,Migration_T-Shirt,cat_tshirt,76,118,59,,21,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5292
130401,A0131401,2002 Men In Green Vintage T-Shirt,Has good faded print. Slightly faded color. Hole on right armpit,Others-Vintage,Branded,V,No Logo,2002 Men In Green Vintage T-Shirt-130401,2XL,XXL,Very Good,No,Black,VINTAGEM,TShirts,Round Neck / V-Neck T-Shirts,Vintage,,175,175,0.269,,Migration_T-Shirt,cat_tshirt,75,130,65,,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292
130402,A0131402,1994 Daffy Duck Bugs Bunny Wile E Coyote Hockey Vintage T-Shirt,Missing tag. Tiny holes on hem. Good faded print. Stain on left chest,Others-Vintage,Branded,V,No Logo,1994 Daffy Duck Bugs Bunny Wile E Coyote Hockey Vintage T-Shirt-130402,,M,Very Good,No,White,VINTAGEM,TShirts,Character T-Shirts,Vintage,,95,95,0.194,,Migration_T-Shirt,cat_tshirt,68,100,50,,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292
130403,A0131403,1991 Mighty Mouse Single Stitch Vintage T-Shirt,With stain around the print. ,Others-Vintage,Branded,V,No Logo,1991 Mighty Mouse Single Stitch Vintage T-Shirt-130403,XL,L,Very Good,No,White,VINTAGEM,TShirts,Character T-Shirts,Vintage,,145,145,0.248,,Migration_T-Shirt,cat_tshirt,80,112,56,,24,1,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,100,5292
130404,A0131404,Mens Tommy Hilfiger Slim Fit Navy Shorts,,Tommy Hilfiger,Branded,HB / V,No Logo,Mens Tommy Hilfiger Slim Fit Navy Shorts-130404,S,S,Excellent,No,Navy Blue,MEN,Shorts,Sports Shorts,Thrift,,31,,0.156,,Migration_Shorts,cat_shorts,38,,,72,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292
130405,A0131405,Mens Walter Hagen Checkered Shorts,,Others,Unbranded,Unbranded,No Logo,Mens Walter Hagen Checkered Shorts-130405,32,M,Excellent,No,Blue,MEN,Shorts,Casual Shorts ,Thrift,,25,14,0.232,,Migration_Shorts,cat_shorts,52,,,80,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5292
